,Close,High,Low,Open,close_predicted,close_score,open_predicted,open_score
0,959.8,961.5,945.2,949.0,964.0758875007562,0.0,961.1468524651261,0.0
0,952.6,957.45,916.4,935.1,959.0208976564161,0.0,949.8026438011235,0.2126
0,952.65,958.55,942.0,944.9,959.1641509647533,0.0,957.0430478306407,0.0
0,950.35,958.75,944.3,953.0,957.327701152975,0.0,953.2879871041162,0.12533125
0,1006.4,1015.0,1003.5,1014.0,1008.05430201873,0.0,1005.0653032979678,0.24085
0,1041.7,1043.9,1018.6,1020.0,1039.5890976759113,0.0,1038.5547519274205,0.156875
0,1011.75,1045.9,1009.0,1042.05,1021.8130550578242,0.0,1019.0636397357806,0.245825
0,1014.5,1029.55,1010.6,1014.9,1018.757964519872,0.0,1018.5679230471428,0.2219875
0,1016.0,1036.9,1012.0,1027.0,1021.692941233253,0.0,1023.0043941647001,0.0
0,1020.4,1031.7,1015.65,1030.0,1021.7323925609032,0.0,1021.6770775304395,0.0
0,1047.05,1051.75,1042.7,1042.7,1044.388923025047,0.0,1044.382499551641,0.24684166666666665
0,1035.05,1042.2,1025.3,1040.0,1033.6074316809966,0.0,1033.1178836233528,0.0007874999999999965
0,1036.35,1054.45,1031.2,1035.9,1039.9837026220957,0.0,1040.9147049507562,0.241
0,1040.3,1045.5,1033.0,1037.0,1038.3120281065098,0.0,1037.1546010946593,0.246775
0,1037.3,1069.2,1035.8,1069.2,1043.9965113004764,0.0,1041.9637172631287,0.2486625
0,1041.15,1052.0,1035.0,1041.4,1041.1987681713651,0.0,1046.1067292413807,-0.239525
0,1038.95,1047.5,1029.3,1039.0,1038.1718678966736,0.0,1036.2684143309853,0.2494
0,968.95,976.8,967.0,973.0,973.9789751650738,0.0,970.0394195901317,0.248775
0,975.95,982.5,971.1,977.0,979.9995337221817,0.0,977.5835413522091,0.10708125
0,930.0,940.7,925.65,937.35,933.8744103378258,0.2274,935.8018161923692,0.0
0,940.45,944.0,928.05,928.05,947.4307892304897,0.0,942.0276643433659,0.249175
0,946.85,952.4,944.1,950.0,952.9545300875404,0.0,948.1135793388561,0.204725
0,974.7,976.9,948.75,949.05,978.9027597265581,0.0,976.7166745338999,0.0
0,957.85,973.0,956.5,969.0,966.3759723331295,0.0,964.7759856948329,0.0
0,956.25,957.15,945.1,954.5,959.7965134523976,0.0,955.7057269217783,0.0
0,954.8,963.0,952.55,961.0,961.0607984851788,0.0,958.8605811479215,0.0
0,971.15,976.45,956.2,960.0,975.9540978559174,0.0,971.902160595686,0.19777
0,976.7,984.4,968.3,974.0,981.4231664722901,0.0,979.8755896297838,0.03486875
0,976.25,985.4,969.3,980.95,986.9451557687913,-0.24315,979.0399897534552,0.0
0,974.9,978.65,970.1,977.0,977.7678491239745,0.0,978.438417568432,-0.23175
0,980.5,985.9,977.1,985.0,983.3845212215772,0.0,981.876096037627,0.0
0,980.45,982.0,970.0,979.95,982.0004957314998,0.0,979.0236187670304,0.0
0,951.45,964.9,933.4,964.9,959.3149959505026,0.0,950.0346817229253,0.22165
0,955.65,958.4,940.5,940.5,961.1068286661168,0.0,956.1331650386143,0.243975
0,966.9,968.95,960.0,962.0,970.3268077553812,0.0,968.5692300207435,0.0
0,986.7,993.6,975.5,975.5,985.5983982287596,0.21595,990.9325335394705,0.0
0,992.5,994.95,985.5,991.0,993.4992646022038,0.0,992.2589214757131,0.00033749999999999064
0,1003.4,1005.0,991.0,995.25,1003.5246781970126,0.0,1002.5441640749242,0.0
0,1012.2,1021.0,1003.5,1009.0,1008.2514381729519,0.2455,1014.8489067009511,0.0
0,1006.25,1038.75,1001.75,1028.0,1016.8077489326346,0.0,1015.8023939197029,0.15040833333333334
0,1006.35,1025.0,1005.0,1024.0,1011.4381516924277,0.0,1008.5407950459555,0.248725
0,1014.85,1017.8,1005.1,1006.0,1014.6272411102566,0.0,1012.4249961928447,0.2456375
0,1022.75,1023.75,1007.35,1014.0,1020.8730084299997,0.0,1018.6170978731913,0.1239
0,1014.9,1024.9,1012.0,1024.0,1018.8980730662286,-0.108525,1014.4523347635451,0.16415833333333332
0,1012.8,1020.0,1006.3,1008.0,1014.2786608455722,0.0,1015.5057952913122,0.0
0,993.95,1014.4,991.5,1014.4,1000.6562700745626,0.0,999.4979447442096,0.0
0,1029.25,1034.0,1018.65,1019.9,1028.5211046999973,0.0,1027.4864895342216,0.21511666666666665
0,1030.7,1034.5,1021.0,1027.0,1028.9708230287536,0.0,1026.641099881202,0.245475
0,1024.9,1044.8,1015.5,1036.25,1029.234848709503,0.0,1029.3485832899596,0.0
0,1020.5,1021.95,1011.0,1011.7,1024.9237225255847,-0.2377,1019.731525907329,0.0
0,1027.9,1030.8,1014.6,1017.9,1026.5123504360238,0.0,1024.1703680281698,0.249
0,1044.55,1049.9,1030.0,1035.0,1042.6402589255501,0.0,1041.7729684414394,0.18470416666666667
0,1046.5,1056.0,1029.15,1030.4,1046.6821320667734,0.0,1046.4555492508907,0.247775
0,1075.55,1093.85,1059.1,1067.0,1076.2190089546725,0.0,1080.3360835388307,0.0
0,1088.95,1095.8,1079.0,1083.0,1082.248063541471,0.049745,1086.8798563689475,0.0410625
0,1102.8,1109.45,1089.0,1089.0,1093.5434635554225,0.1245625,1101.5733475984307,0.0
0,1107.2,1129.55,1100.25,1103.4,1106.5122529501105,0.0,1114.1863075572614,0.0
0,1110.5,1125.95,1106.6,1117.0,1099.7355959652218,0.247525,1111.197526398309,0.0
0,1072.45,1110.75,1067.4,1095.0,1079.4301718283173,0.0,1081.470299541103,0.2015325000000001
